chr	pos	cluster	cp
1	296500	2	0.712673451745912
1	1728194	1	0.273426862226017
1	1993288	2	0.712673451745912
1	2401749	1	0.273426862226017
1	2633732	2	0.712673451745912
1	3585746	1	0.273426862226017
1	3779861	2	0.712673451745912
1	4610426	2	0.712673451745912
1	4663285	2	0.712673451745912
1	4794116	2	0.712673451745912
1	5634632	1	0.273426862226017
1	6024115	2	0.712673451745912
1	6264765	1	0.273426862226017
1	6390672	2	0.712673451745912
1	7008088	2	0.712673451745912
1	8438289	2	0.712673451745912
1	9727736	2	0.712673451745912
1	9837320	2	0.712673451745912
1	10841114	2	0.712673451745912
1	11139474	2	0.712673451745912
1	11842369	2	0.712673451745912
1	11897777	2	0.712673451745912
1	13460749	2	0.712673451745912
1	13677815	1	0.273426862226017
1	13942763	2	0.712673451745912
1	14010273	2	0.712673451745912
1	14532601	2	0.712673451745912
1	14591226	2	0.712673451745912
1	15552383	2	0.712673451745912
1	16157955	1	0.273426862226017
1	16805649	2	0.712673451745912
1	16933415	2	0.712673451745912
1	17631603	2	0.712673451745912
1	18413401	2	0.712673451745912
1	18838997	2	0.712673451745912
1	19114285	2	0.712673451745912
1	22496877	2	0.712673451745912
1	22699818	2	0.712673451745912
1	22917866	2	0.712673451745912
1	25234369	2	0.712673451745912
1	27191791	1	0.273426862226017
1	27796525	1	0.273426862226017
1	28031086	2	0.712673451745912
1	28426298	2	0.712673451745912
1	28449698	2	0.712673451745912
1	28637621	1	0.273426862226017
1	28855755	1	0.273426862226017
1	28886898	2	0.712673451745912
1	30261479	2	0.712673451745912
1	31299138	2	0.712673451745912
1	31964991	2	0.712673451745912
1	32114203	2	0.712673451745912
1	35845399	1	0.273426862226017
1	36407278	2	0.712673451745912
1	36682805	1	0.273426862226017
1	37177674	2	0.712673451745912
1	37720934	2	0.712673451745912
1	37987664	2	0.712673451745912
1	38353703	2	0.712673451745912
1	38573235	2	0.712673451745912
1	38987596	2	0.712673451745912
1	39058594	2	0.712673451745912
1	39522907	2	0.712673451745912
1	41449595	2	0.712673451745912
1	41954206	2	0.712673451745912
1	42650600	2	0.712673451745912
1	42987786	2	0.712673451745912
1	43134376	1	0.273426862226017
1	43406026	2	0.712673451745912
1	44419051	1	0.273426862226017
1	44831090	2	0.712673451745912
1	45110638	2	0.712673451745912
1	45209857	2	0.712673451745912
1	45563769	1	0.273426862226017
1	45780765	2	0.712673451745912
1	46071381	1	0.273426862226017
1	47093029	2	0.712673451745912
1	47679046	1	0.273426862226017
1	48725785	2	0.712673451745912
1	49309347	2	0.712673451745912
1	49528577	2	0.712673451745912
1	54575317	1	0.273426862226017
1	55318611	1	0.273426862226017
1	59125371	2	0.712673451745912
1	59654487	2	0.712673451745912
1	59775526	1	0.273426862226017
1	60989379	2	0.712673451745912
1	61688212	1	0.273426862226017
1	61907626	2	0.712673451745912
1	62286027	1	0.273426862226017
1	63591212	2	0.712673451745912
1	64292082	1	0.273426862226017
1	64735094	2	0.712673451745912
1	65724522	1	0.273426862226017
1	65835064	2	0.712673451745912
1	66442877	1	0.273426862226017
1	66725298	1	0.273426862226017
1	66752968	2	0.712673451745912
1	67039361	2	0.712673451745912
1	67122798	2	0.712673451745912
1	70242689	2	0.712673451745912
1	70608229	1	0.273426862226017
1	70698141	2	0.712673451745912
1	73062836	2	0.712673451745912
1	74655354	1	0.273426862226017
1	76540922	1	0.273426862226017
1	79964415	2	0.712673451745912
1	80210182	2	0.712673451745912
1	80305825	2	0.712673451745912
1	80364087	2	0.712673451745912
1	81252746	2	0.712673451745912
1	82825638	1	0.273426862226017
1	82840216	2	0.712673451745912
1	83441112	2	0.712673451745912
1	83530719	2	0.712673451745912
1	83591295	1	0.273426862226017
1	83963158	2	0.712673451745912
1	84162338	2	0.712673451745912
1	87539369	2	0.712673451745912
1	87863828	2	0.712673451745912
1	88493384	2	0.712673451745912
1	89681014	2	0.712673451745912
1	90611792	1	0.273426862226017
1	90796213	1	0.273426862226017
1	91225708	2	0.712673451745912
1	92303839	1	0.273426862226017
1	93024114	2	0.712673451745912
1	93087898	2	0.712673451745912
1	94069291	2	0.712673451745912
1	94100682	2	0.712673451745912
1	96041614	2	0.712673451745912
1	96073759	1	0.273426862226017
1	97426011	2	0.712673451745912
1	98550111	2	0.712673451745912
1	100553416	2	0.712673451745912
1	101446601	1	0.273426862226017
1	104271279	1	0.273426862226017
1	104384138	2	0.712673451745912
1	106022295	2	0.712673451745912
1	106953381	1	0.273426862226017
1	107027572	1	0.273426862226017
1	107057075	1	0.273426862226017
1	107470307	2	0.712673451745912
1	107879817	2	0.712673451745912
1	110001436	2	0.712673451745912
1	111929307	2	0.712673451745912
1	114124282	2	0.712673451745912
1	114156028	2	0.712673451745912
1	114941745	1	0.273426862226017
1	115454247	1	0.273426862226017
1	115664780	2	0.712673451745912
1	116574804	1	0.273426862226017
1	118245823	2	0.712673451745912
1	119736779	2	0.712673451745912
1	119897369	1	0.273426862226017
1	119947555	1	0.273426862226017
