chr	pos	cluster	cp
12	11215834	3	0.808621294650715
3	38428514	3	0.808621294650715
16	84408261	2	0.611579561466968
21	8306558	3	0.808621294650715
9	90202177	2	0.611579561466968
13	64647313	3	0.808621294650715
16	83673543	2	0.611579561466968
2	106396101	1	0.29436375396942
12	124676303	2	0.611579561466968
1	198589035	3	0.808621294650715
12	64096354	1	0.29436375396942
5	73358049	3	0.808621294650715
4	33205913	1	0.29436375396942
5	120650711	3	0.808621294650715
13	48681657	3	0.808621294650715
13	102046316	3	0.808621294650715
Y	51942611	3	0.808621294650715
9	93065030	3	0.808621294650715
6	154683430	1	0.29436375396942
14	89587216	3	0.808621294650715
5	26207285	3	0.808621294650715
7	20514006	1	0.29436375396942
Y	53816221	1	0.29436375396942
Y	36145615	2	0.611579561466968
6	128779618	3	0.808621294650715
17	73414225	3	0.808621294650715
16	28619421	1	0.29436375396942
8	141510981	1	0.29436375396942
12	48174641	1	0.29436375396942
10	7397956	1	0.29436375396942
1	110001436	3	0.808621294650715
1	19114285	3	0.808621294650715
14	91494000	3	0.808621294650715
4	66335218	3	0.808621294650715
14	35297812	3	0.808621294650715
X	10767590	1	0.29436375396942
15	50540469	1	0.29436375396942
8	44220691	3	0.808621294650715
1	182929006	1	0.29436375396942
3	191817672	1	0.29436375396942
1	115454247	1	0.29436375396942
X	46417019	2	0.611579561466968
2	86055836	1	0.29436375396942
20	12249094	2	0.611579561466968
3	139482135	3	0.808621294650715
5	63921794	3	0.808621294650715
22	29438907	3	0.808621294650715
4	42644773	3	0.808621294650715
1	93024114	3	0.808621294650715
17	9640959	1	0.29436375396942
11	20152816	1	0.29436375396942
X	73187302	2	0.611579561466968
14	88836407	1	0.29436375396942
14	18309600	1	0.29436375396942
3	113047571	1	0.29436375396942
Y	38483712	1	0.29436375396942
8	128825417	3	0.808621294650715
4	77882180	3	0.808621294650715
1	125372448	3	0.808621294650715
22	22781072	2	0.611579561466968
3	93626792	3	0.808621294650715
13	99547185	3	0.808621294650715
3	66288485	2	0.611579561466968
4	46930442	3	0.808621294650715
12	85858040	3	0.808621294650715
15	95701460	3	0.808621294650715
19	52136653	2	0.611579561466968
4	44789286	1	0.29436375396942
6	9634007	1	0.29436375396942
15	75632435	1	0.29436375396942
18	12002652	1	0.29436375396942
10	111740805	3	0.808621294650715
13	71385948	2	0.611579561466968
1	129885050	3	0.808621294650715
